app,categorias,nome,url,recurso_menu,recurso_herdado,restricao
automacao,Documentos,Manuais das maquinas,/apps/automacao/documentacao,menu:392ab1ceb5dfab43ff1ca428,documentos,individual
automacao,Workflow,Kanban Automacao,/workflow/automacao,menu:20d8d7819190ad9ee0952492,*,individual
chamados,Dashboard,Indicadores de Chamados,/apps/chamados?view=dashboard,menu:0623142fa0583507af89803e,dashboard,individual
chamados,Relatorios,Histórico de Soluções,/apps/chamados?view=historico,menu:c0421ce3105f3135db949bd1,historico,individual
chamados,Workflow,Chamados e Manutenções,/apps/chamados?view=chamados,menu:1cd6362880b1e72056105e1a,chamados,individual
chamados,Gestao,Agenda de Tarefas,/apps/chamados?view=agenda,menu:58c79cbc86ba7fbe9441f185,agenda,individual
chamados,Documentos,Manuais e Documentações,/apps/chamados?view=documentos,menu:3e98c3c8eb9f9727874817e4,documentos,individual
tecnologia,Dashboard,Visao geral,/apps/tecnologia#dashboard,menu:a02a3ca9b0d15c8d773a5190,dashboard,individual
tecnologia,Dashboard / Monitor,Visao de backups,/apps/tecnologia#backup-visao,menu:a190f96021eda9cf674faafe,backup,individual
tecnologia,Cadastro,Equipamentos,/apps/tecnologia#equipamentos,menu:91ce0dea441980ff2eef5afc,equipamentos,individual
tecnologia,Cadastro / Configurar,Planos de backup,/apps/tecnologia#backup-planos,menu:88442d9a03471de62caece07,backup,individual
tecnologia,Cadastro / Configurar,Instalar agentes de backup,/apps/tecnologia#backup-agentes,menu:9e6ec815f6c46ad81643bd34,backup,individual
tecnologia,Cadastro,Descobrir impressoras,/apps/tecnologia#descoberta-impressoras,menu:379329d5758fc747452950c6,equipamentos,individual
tecnologia,Cadastro,Descobrir computadores,/apps/tecnologia#descoberta-computadores,menu:1a2b42d03f4fbf13650dd906,equipamentos,individual
tecnologia,Relatorios,Historico,/apps/tecnologia#historico,menu:2c4481e5155a9a6720f13d47,historico,individual
tecnologia,Relatorios,Ocupacao do link,/apps/tecnologia#ocupacao-link,menu:9df30e4f9d81e3008bb571bb,historico,individual
tecnologia,Gestao,Rede,/apps/tecnologia#rede,menu:957d6b6e12622777f7c441cb,rede,individual
tecnologia,Documentos,Agentes e protocolos,/apps/tecnologia#protocolos,menu:991740f5bf2559f553b15e38,equipamentos,individual
tecnologia,Monitor,Monitoramento de link,/apps/tecnologia#monitor-link,menu:06c3d54a1cbae7ce200b7a08,dashboard,individual
tecnologia,Configurar,Configuracao e alertas,/apps/tecnologia#config,menu:f8f3b5a58fc5a821a2ed0634,config,individual
zap,Dashboard,Status de entradas,/apps/zap,menu:774319fb53f392e9a7020e72,workflow,individual
zap,Cadastro / Configurar,Estados do fluxo,/apps/zap/settings?secao=estados,menu:26a5bbb7bd4658575c6f9875,settings,individual
zap,Cadastro,Departamentos,/apps/zap/settings?secao=departamentos,menu:1e9008c3444e1b34972854a8,settings,individual
zap,Cadastro,Etiquetas,/apps/zap/settings?secao=etiquetas,menu:63935f92384b8681b33374c8,settings,individual
zap,Cadastro,Respostas rapidas,/apps/zap/settings?secao=respostas,menu:71b0a91cd1bb6e5b9cf15fb5,settings,individual
zap,Documentos,Guia do Gestor,/apps/zap/docs,menu:080f2a7e0adfef19de0384ce,docs,individual
zap,Gestao,Agenda compartilhada,/apps/zap/calendar,menu:6fdc990e28e4b9bdc1906654,agenda,individual
zap,Monitor,Status das integracoes,/apps/zap/settings?secao=status,menu:1d78cd811b68573004e8cb29,settings,individual
zap,Configurar,Webhook WhatsApp,/apps/zap/settings?secao=webhook,menu:ce9243e733d0c069b147ce76,settings,individual
zap,Configurar,WhatsApp Business,/apps/zap/settings?secao=whatsapp,menu:65f734167d61f29791ba74d0,settings,individual
zap,Configurar,Backup AlwaysData,/apps/zap/settings?secao=backup,menu:6ffb48d13085e882e1207d44,settings,individual
zap,Configurar,Configurar agenda,/apps/zap/settings?secao=agenda,menu:342f4805d0e811925636c7fa,settings,individual
zap,Configurar,Lembretes,/apps/zap/settings?secao=lembretes,menu:b73eb5e967d2502a1757d99c,settings,individual
zap,Configurar,Integracoes extras,/apps/zap/settings?secao=integracoes,menu:d94f83c9d1d79f378d429b77,settings,individual
zap,Configurar,Usuarios do Zap,/apps/zap/settings?secao=usuarios,menu:f5470d9f4d385fa036e766b7,settings,individual
zap,Configurar,Configuracao atual,/apps/zap/settings?secao=valores,menu:5977910a3ccab846f7c01ab7,settings,individual
sistema,Configurar,Minha conta,/config#minha-conta,menu:7be1e43c8d809ebe2727f8c5,,individual
sistema,Configurar,Temas,/config#temas,menu:fd0d156c1475ae2b285098c7,,individual
sistema,Configurar,Logo,/config#logo,menu:bf87d20dbcc707e6b00e0882,logo,individual
sistema,Configurar,Usuarios e acessos,/config#usuarios,menu:c85b8c08be5346b41771b444,,administrador
sistema,Configurar,Clientes e modulos,/config#clientes,menu:741771de9bfde9d03bbc5268,,administrador
sistema,Configurar,Backup do portal,/config#backup,menu:9c6229fa7b489c7e7b89c371,,administrador
